order id,order date,ship mode,customer id,customer name,origin channel,city,state,postal code,region,arrival scan date,on truck scan date,ready to ship date,pickup date,order_date_day,arrival_scan_day,on_truck_scan_day,ready_to_ship_day,pickup_day
CA-2017-133753,2017-06-09,Second Class,CW-11905,Carl Weiss,Facebook,Huntsville,Texas,77340,Central,,,,,Friday,,,,
CA-2019-169166,2019-05-09,Standard Class,SS-20590,Sonia Sunley,Email,Seattle,Washington,98115,West,2019-05-20,2019-05-15,,,Thursday,Monday,Wednesday,,
CA-2020-135307,2020-11-26,First Class,LS-17245,Lynn Smith,Email,Gladstone,Missouri,64118,Central,,2020-11-27,2020-11-27,2020-11-27,Thursday,,Friday,Friday,Friday
CA-2018-157812,2018-03-22,Standard Class,DB-13210,Dean Braden,Email,Houston,Texas,77041,Central,,,,,Thursday,,,,
US-2019-139486,2019-05-21,First Class,LH-17155,Logan Haushalter,Email,Los Angeles,California,90032,West,,2019-05-24,,,Tuesday,,Friday,,
CA-2017-140795,2017-02-01,First Class,BD-11500,Bradley Drucker,Email,Green Bay,Wisconsin,54302,Central,,,,,Wednesday,,,,
CA-2017-103849,2017-05-11,Standard Class,PG-18895,Paul Gonzalez,Email,Fort Worth,Texas,76106,Central,,,,,Thursday,,,,
CA-2017-135405,2017-01-09,Standard Class,MS-17830,Melanie Seite,Email,Laredo,Texas,78041,Central,,,,,Monday,,,,
US-2019-135720,2019-12-11,Second Class,FM-14380,Fred McMath,Email,Aurora,Colorado,80013,West,,2019-12-16,,,Wednesday,,Monday,,
CA-2020-144694,2020-09-24,Second Class,BD-11605,Brian Dahlen,Email,Miami,Florida,33180,South,,2020-09-30,,,Thursday,,Wednesday,,
CA-2020-106103,2020-06-10,Standard Class,SC-20305,Sean Christensen,Email,Rochester Hills,Michigan,48307,Central,,2020-06-17,,,Wednesday,,Wednesday,,
CA-2019-160745,2019-12-11,Second Class,AR-10825,Anthony Rawles,Sales,Vancouver,Washington,98661,West,,2019-12-18,,,Wednesday,,Wednesday,,
CA-2020-140844,2020-06-19,Standard Class,AR-10405,Allen Rosenblatt,Sales,New York City,New York,10035,East,,2020-06-24,,,Friday,,Wednesday,,
CA-2020-130351,2020-12-05,First Class,RB-19570,Rob Beeghly,Email,Columbus,Indiana,47201,Central,,2020-12-11,,,Saturday,,Friday,,
US-2020-119438,2020-03-18,Standard Class,CD-11980,Carol Darley,Email,Tyler,Texas,75701,Central,,2020-03-25,,,Wednesday,,Wednesday,,
CA-2017-157784,2017-07-05,First Class,MC-17845,Michael Chen,Email,Jackson,Mississippi,39212,South,,,,,Wednesday,,,,
CA-2018-131534,2018-03-28,Standard Class,AB-10165,Alan Barnes,Email,Los Angeles,California,90036,West,,,,,Wednesday,,,,
CA-2017-138527,2017-09-12,Standard Class,BN-11470,Brad Norvell,Sales,Cary,North Carolina,27511,South,,,,,Tuesday,,,,
CA-2017-112158,2017-12-02,First Class,DP-13165,David Philippe,Email,New York City,New York,10035,East,,,,,Saturday,,,,
US-2020-100048,2020-05-19,Standard Class,RS-19765,Roland Schwarz,Sales,Mount Vernon,New York,10550,East,,2020-05-27,,,Tuesday,,Wednesday,,
CA-2020-131954,2020-01-21,Standard Class,DS-13030,Darrin Sayre,Facebook,Seattle,Washington,98115,West,2020-02-03,2020-01-29,,,Tuesday,Monday,Wednesday,,
CA-2017-132500,2017-09-08,Standard Class,GZ-14470,Gary Zandusky,Email,San Francisco,California,94110,West,,,,,Friday,,,,
CA-2017-106803,2017-12-29,Standard Class,DC-13285,Debra Catini,Email,Cottage Grove,Minnesota,55016,Central,,,,,Friday,,,,
CA-2017-162775,2017-01-13,Second Class,CS-12250,Chris Selesnick,Sales,Bossier City,Louisiana,71111,South,,,,,Friday,,,,
US-2018-157014,2018-10-03,Second Class,BM-11785,Bryan Mills,Email,Columbus,Ohio,43229,East,,,,,Wednesday,,,,
CA-2018-140921,2018-02-03,First Class,AA-10375,Allen Armold,Email,Omaha,Nebraska,68104,Central,,,,,Saturday,,,,
CA-2017-151995,2017-10-13,First Class,ZC-21910,Zuschuss Carroll,Email,Edmonds,Washington,98026,West,,,,,Friday,,,,
CA-2020-143686,2020-05-14,First Class,PJ-19015,Pauline Johnson,Email,Santa Ana,California,92704,West,,2020-05-15,,,Thursday,,Friday,,
CA-2020-101434,2020-06-20,Standard Class,TR-21325,Toby Ritter,Email,Belleville,New Jersey,7109,East,,2020-06-24,,,Saturday,,Wednesday,,
US-2017-102071,2017-05-09,Standard Class,PG-18820,Patrick Gardner,Email,San Francisco,California,94110,West,,,,,Tuesday,,,,
CA-2017-107755,2017-02-07,Standard Class,CK-12760,Cyma Kinney,Sales,Linden,New Jersey,7036,East,,,,,Tuesday,,,,
CA-2019-134474,2019-01-05,Second Class,AJ-10795,Anthony Johnson,Sales,Jacksonville,Florida,32216,South,,2019-01-11,,,Saturday,,Friday,,
CA-2019-116736,2019-01-17,Standard Class,CC-12430,Chuck Clark,Facebook,Concord,New Hampshire,3301,East,,2019-01-23,,,Thursday,,Wednesday,,
CA-2020-132934,2020-06-20,Standard Class,JE-15475,Jeremy Ellison,Email,New Rochelle,New York,10801,East,,2020-06-24,,,Saturday,,Wednesday,,
CA-2020-137596,2020-09-02,Standard Class,BE-11335,Bill Eplett,Facebook,Jackson,Michigan,49201,Central,,2020-09-09,,,Wednesday,,Wednesday,,
CA-2020-102519,2020-11-27,First Class,BM-11650,Brian Moss,Sales,Milwaukee,Wisconsin,53209,Central,,2020-11-30,,,Friday,,Monday,,
CA-2018-111164,2018-04-11,Standard Class,SE-20110,Sanjit Engle,Email,New York City,New York,10009,East,,,,,Wednesday,,,,
CA-2017-132962,2017-09-13,First Class,JM-15535,Jessica Myrick,Email,Philadelphia,Pennsylvania,19143,East,,,,,Wednesday,,,,
US-2020-111745,2020-11-05,First Class,RA-19885,Ruben Ausman,Sales,Farmington,New Mexico,87401,West,,2020-11-06,,,Thursday,,Friday,,
CA-2018-124891,2018-07-31,First Class,RH-19495,Rick Hansen,Email,New York City,New York,10024,East,,,,,Tuesday,,,,
US-2018-126214,2018-12-21,Second Class,JS-15880,John Stevenson,Email,Seattle,Washington,98103,West,,,,,Friday,,,,
CA-2019-102981,2019-09-06,Second Class,MO-17500,Mary O'Rourke,Email,New York City,New York,10035,East,2019-09-16,2019-09-11,2019-09-09,2019-09-11,Friday,Monday,Wednesday,Monday,Wednesday
CA-2017-139192,2017-05-27,Second Class,LC-16885,Lena Creighton,Email,San Francisco,California,94109,West,,,,,Saturday,,,,
CA-2019-134348,2019-11-12,Standard Class,MS-17710,Maurice Satty,Email,Mesa,Arizona,85204,West,,2019-11-20,,,Tuesday,,Wednesday,,
CA-2019-107216,2019-06-14,First Class,PV-18985,Paul Van Hugh,Facebook,San Francisco,California,94122,West,,2019-06-17,,,Friday,,Monday,,
CA-2020-140585,2020-12-18,Second Class,RA-19915,Russell Applegate,Email,Encinitas,California,92024,West,,2020-12-24,,,Friday,,Thursday,,
CA-2018-142755,2018-09-04,Standard Class,CS-12355,Christine Sundaresam,Email,Roswell,Georgia,30076,South,,,,,Tuesday,,,,
CA-2018-125416,2018-11-02,First Class,KC-16540,Kelly Collister,Email,Seattle,Washington,98115,West,,,,,Friday,,,,
CA-2019-168081,2019-04-24,Second Class,CA-12055,Cathy Armstrong,Facebook,Houston,Texas,77070,Central,2019-05-06,2019-05-01,,,Wednesday,Monday,Wednesday,,
CA-2019-130946,2019-04-08,Standard Class,ZC-21910,Zuschuss Carroll,Email,Houston,Texas,77041,Central,,2019-04-15,,,Monday,,Monday,,
US-2020-118087,2020-09-09,Standard Class,SP-20620,Stefania Perrino,Sales,Philadelphia,Pennsylvania,19134,East,,2020-09-16,,,Wednesday,,Wednesday,,
CA-2019-126004,2019-12-04,First Class,BM-11140,Becky Martin,Email,New York City,New York,10024,East,,2019-12-06,,,Wednesday,,Friday,,
US-2019-168620,2019-12-24,Second Class,RB-19795,Ross Baird,Facebook,Charlotte,North Carolina,28205,South,,2020-01-03,,,Tuesday,,Friday,,
CA-2019-119186,2019-05-26,First Class,MS-17710,Maurice Satty,Email,Fort Worth,Texas,76106,Central,2019-05-31,2019-05-28,,,Sunday,Friday,Tuesday,,
CA-2017-163293,2017-09-08,First Class,KC-16255,Karen Carlisle,Sales,Macon,Georgia,31204,South,,,,,Friday,,,,
CA-2020-157651,2020-12-10,Standard Class,HA-14920,Helen Andreada,Email,Philadelphia,Pennsylvania,19120,East,,2020-12-16,,,Thursday,,Wednesday,,
US-2020-155425,2020-11-10,First Class,AB-10600,Ann Blume,Sales,Tucson,Arizona,85705,West,,2020-11-12,2020-11-11,2020-11-12,Tuesday,,Thursday,Wednesday,Thursday
CA-2020-136672,2020-03-07,Standard Class,MG-17890,Michael Granlund,Facebook,Clinton,Maryland,20735,East,,2020-03-11,,,Saturday,,Wednesday,,
CA-2019-124485,2019-11-24,First Class,NC-18340,Nat Carroll,Email,New York City,New York,10035,East,2019-12-02,2019-11-27,,,Sunday,Monday,Wednesday,,
US-2017-118486,2017-04-06,First Class,SD-20485,Shirley Daniels,Facebook,Philadelphia,Pennsylvania,19143,East,,,,,Thursday,,,,
CA-2020-115994,2020-01-28,Second Class,BT-11305,Beth Thompson,Facebook,Costa Mesa,California,92627,West,2020-02-06,2020-02-03,,,Tuesday,Thursday,Monday,,
CA-2018-126697,2018-09-21,First Class,SV-20815,Stuart Van,Sales,Houston,Texas,77041,Central,,,,,Friday,,,,
CA-2018-139731,2018-10-15,First Class,JE-15745,Joel Eaton,Email,Amarillo,Texas,79109,Central,,,,,Monday,,,,
CA-2019-152289,2019-08-26,First Class,LC-16930,Linda Cazamias,Sales,Pasadena,Texas,77506,Central,,2019-08-28,,,Monday,,Wednesday,,
CA-2017-151708,2017-08-08,Standard Class,MB-17305,Maria Bertelson,Email,Glendale,Arizona,85301,West,,,,,Tuesday,,,,
CA-2018-100769,2018-05-16,First Class,TH-21550,Tracy Hopkins,Facebook,Jacksonville,Florida,32216,South,,,,,Wednesday,,,,
US-2019-108098,2019-10-14,Standard Class,CP-12340,Christine Phan,Sales,Seattle,Washington,98115,West,,2019-10-21,,,Monday,,Monday,,
CA-2018-140410,2018-11-03,Standard Class,CM-12655,Corinna Mitchell,Facebook,Los Angeles,California,90008,West,,,,,Saturday,,,,
CA-2020-120761,2020-09-04,Standard Class,AB-10150,Aimee Bixby,Email,Long Beach,New York,11561,East,,2020-09-09,,,Friday,,Wednesday,,
CA-2018-129112,2018-11-29,First Class,AW-10840,Anthony Witt,Email,Allen,Texas,75002,Central,,,,,Thursday,,,,
US-2017-157385,2017-11-23,First Class,SC-20095,Sanjit Chand,Email,Los Angeles,California,90004,West,,,,,Thursday,,,,
CA-2018-131338,2018-08-09,First Class,NP-18325,Naresj Patel,Email,New York City,New York,10024,East,,,,,Thursday,,,,
US-2019-113509,2019-03-15,Standard Class,PL-18925,Paul Lucas,Facebook,Philadelphia,Pennsylvania,19143,East,,2019-03-20,,,Friday,,Wednesday,,
CA-2020-108560,2020-07-08,Standard Class,JC-15385,Jenna Caffey,Email,Kent,Washington,98031,West,,2020-07-17,,,Wednesday,,Friday,,
CA-2018-157084,2018-12-19,Standard Class,JG-15160,James Galang,Email,Los Angeles,California,90049,West,,,,,Wednesday,,,,
CA-2019-106530,2019-05-08,First Class,CL-12565,Clay Ludtke,Email,Cleveland,Ohio,44105,East,2019-05-13,2019-05-08,,,Wednesday,Monday,Wednesday,,
CA-2018-105221,2018-11-01,First Class,VM-21685,Valerie Mitchum,Facebook,Philadelphia,Pennsylvania,19140,East,,,,,Thursday,,,,
US-2020-132444,2020-11-18,First Class,CD-12280,Christina DeMoss,Email,Seattle,Washington,98105,West,,2020-11-23,2020-11-23,2020-11-23,Wednesday,,Monday,Monday,Monday
CA-2019-128531,2019-11-24,Second Class,NS-18505,Neola Schneider,Email,Dallas,Texas,75217,Central,2019-12-03,2019-11-29,,,Sunday,Tuesday,Friday,,
CA-2019-107615,2019-03-22,First Class,RB-19645,Robert Barroso,Sales,North Las Vegas,Nevada,89031,West,,2019-03-25,,,Friday,,Monday,,
US-2019-158708,2019-06-26,Second Class,AB-10255,Alejandro Ballentine,Facebook,Plano,Texas,75023,Central,,2019-07-03,,,Wednesday,,Wednesday,,
CA-2018-156335,2018-09-25,Second Class,PO-19195,Phillina Ober,Facebook,Bayonne,New Jersey,7002,East,,,,,Tuesday,,,,
US-2018-123218,2018-12-20,Standard Class,KD-16345,Katherine Ducich,Email,Chicago,Illinois,60623,Central,,,,,Thursday,,,,
CA-2019-106894,2019-02-07,First Class,CA-12265,Christina Anderson,Email,Springfield,Virginia,22153,South,,2019-02-08,,,Thursday,,Friday,,
CA-2018-130204,2018-09-03,Standard Class,DB-13120,David Bremer,Sales,San Francisco,California,94122,West,,,,,Monday,,,,
CA-2020-152807,2020-10-30,Standard Class,MC-18100,Mick Crebagga,Email,Philadelphia,Pennsylvania,19140,East,,2020-11-04,,,Friday,,Wednesday,,
CA-2017-139017,2017-05-11,Standard Class,RM-19375,Raymond Messe,Email,Houston,Texas,77095,Central,,,,,Thursday,,,,
CA-2019-129686,2019-11-27,Second Class,GG-14650,Greg Guthrie,Sales,Chicago,Illinois,60623,Central,,2019-12-02,,,Wednesday,,Monday,,
CA-2019-124667,2019-11-11,Standard Class,BD-11770,Bryan Davis,Email,New York City,New York,10011,East,,2019-11-20,,,Monday,,Wednesday,,
CA-2020-166317,2020-09-22,Standard Class,JE-15610,Jim Epp,Sales,Milwaukee,Wisconsin,53209,Central,,2020-09-30,,,Tuesday,,Wednesday,,
CA-2018-154326,2018-02-15,Standard Class,RP-19855,Roy Phan,Sales,Kenosha,Wisconsin,53142,Central,,,,,Thursday,,,,
CA-2020-158379,2020-09-22,Second Class,JA-15970,Joseph Airdo,Email,Philadelphia,Pennsylvania,19134,East,,2020-09-30,,,Tuesday,,Wednesday,,
US-2019-116729,2019-12-25,First Class,GK-14620,Grace Kelly,Sales,Los Angeles,California,90049,West,,2019-12-30,,,Wednesday,,Monday,,
US-2020-113852,2020-07-29,Standard Class,GW-14605,Giulietta Weimer,Email,Seattle,Washington,98115,West,,2020-08-05,,,Wednesday,,Wednesday,,
CA-2018-160472,2018-07-20,Second Class,RK-19300,Ralph Kennedy,Email,South Bend,Indiana,46614,Central,,,,,Friday,,,,
CA-2020-167094,2020-10-21,First Class,DK-12835,Damala Kotsonis,Sales,Springfield,Oregon,97477,West,,2020-10-23,,,Wednesday,,Friday,,
CA-2019-105963,2019-11-15,Standard Class,SC-20770,Stewart Carmichael,Sales,Los Angeles,California,90008,West,,2019-11-25,,,Friday,,Monday,,
CA-2017-103366,2017-01-15,First Class,EH-13990,Erica Hackney,Email,Roswell,Georgia,30076,South,,,,,Sunday,,,,
CA-2020-102834,2020-03-09,Standard Class,LW-16990,Lindsay Williams,Sales,San Francisco,California,94110,West,,2020-03-16,,,Monday,,Monday,,
CA-2020-101245,2020-11-27,Standard Class,LW-16990,Lindsay Williams,Sales,San Francisco,California,94109,West,,2020-12-04,,,Friday,,Friday,,
CA-2019-108581,2019-06-20,Standard Class,EA-14035,Erin Ashbrook,Sales,Carrollton,Texas,75007,Central,,2019-06-28,,,Thursday,,Friday,,
CA-2020-157987,2020-09-02,Standard Class,AC-10615,Ann Chong,Sales,New York City,New York,10009,East,,2020-09-09,,,Wednesday,,Wednesday,,
CA-2020-110905,2020-09-10,Second Class,RW-19690,Robert Waldorf,Email,Springfield,Missouri,65807,Central,,2020-09-16,,,Thursday,,Wednesday,,
CA-2020-117485,2020-09-23,Standard Class,BD-11320,Bill Donatelli,Email,Tulsa,Oklahoma,74133,Central,,2020-09-30,,,Wednesday,,Wednesday,,
CA-2020-140242,2020-05-06,Standard Class,ML-17755,Max Ludwig,Facebook,Chicago,Illinois,60623,Central,,2020-05-13,,,Wednesday,,Wednesday,,
CA-2017-148950,2017-12-14,Standard Class,JD-16015,Joy Daniels,Email,Chicago,Illinois,60610,Central,,,,,Thursday,,,,
CA-2020-166128,2020-04-11,Standard Class,LW-17215,Luke Weiss,Email,Pasadena,California,91104,West,,2020-04-15,,,Saturday,,Wednesday,,
CA-2017-111150,2017-12-31,Standard Class,RW-19630,Rob Williams,Sales,Columbia,Missouri,65203,Central,,,,,Sunday,,,,
CA-2018-155761,2018-12-11,First Class,SC-20800,Stuart Calhoun,Email,Houston,Texas,77041,Central,,,,,Tuesday,,,,
CA-2020-120376,2020-12-22,First Class,TP-21130,Theone Pippenger,Email,Detroit,Michigan,48227,Central,,2020-12-24,,,Tuesday,,Thursday,,
CA-2017-106439,2017-10-31,Standard Class,GG-14650,Greg Guthrie,Sales,Los Angeles,California,90049,West,,,,,Tuesday,,,,
CA-2018-133452,2018-04-13,Standard Class,ZC-21910,Zuschuss Carroll,Email,Pomona,California,91767,West,,,,,Friday,,,,
CA-2020-122504,2020-11-07,Second Class,DB-13270,Deborah Brumfield,Facebook,Brentwood,California,94513,West,,2020-11-12,2020-11-09,2020-11-12,Saturday,,Thursday,Monday,Thursday
CA-2020-124401,2020-09-07,Standard Class,RD-19900,Ruben Dartt,Email,Portland,Oregon,97206,West,,2020-09-16,,,Monday,,Wednesday,,
CA-2020-167101,2020-03-24,Second Class,BM-11650,Brian Moss,Sales,New York City,New York,10009,East,,2020-04-01,,,Tuesday,,Wednesday,,
CA-2017-126032,2017-06-23,Standard Class,BS-11665,Brian Stugart,Email,Philadelphia,Pennsylvania,19143,East,,,,,Friday,,,,
CA-2017-167360,2017-11-24,Second Class,RB-19435,Richard Bierner,Email,Saint Louis,Missouri,63116,Central,,,,,Friday,,,,
CA-2019-154018,2019-10-13,Standard Class,HA-14920,Helen Andreada,Email,Laredo,Texas,78041,Central,,2019-10-23,,,Sunday,,Wednesday,,
CA-2020-117870,2020-01-27,Second Class,JH-15820,John Huston,Email,Kent,Ohio,44240,East,2020-02-06,2020-01-31,,,Monday,Thursday,Friday,,
CA-2019-128818,2019-05-07,Standard Class,CJ-12010,Caroline Jumper,Email,New York City,New York,10009,East,,2019-05-15,,,Tuesday,,Wednesday,,
CA-2019-101378,2019-07-14,First Class,RH-19600,Rob Haberlin,Email,Huntsville,Alabama,35810,South,,2019-07-15,,,Sunday,,Monday,,
CA-2019-128412,2019-12-10,Standard Class,AP-10915,Arthur Prichep,Email,Seattle,Washington,98105,West,,2019-12-18,,,Tuesday,,Wednesday,,
CA-2020-104066,2020-12-05,Standard Class,QJ-19255,Quincy Jones,Sales,Burlington,Vermont,,East,,2020-12-09,,,Saturday,,Wednesday,,
CA-2018-117611,2018-11-08,Second Class,MZ-17335,Maria Zettner,Facebook,San Diego,California,92024,West,,,,,Thursday,,,,
US-2018-137960,2018-12-18,First Class,MW-18220,Mitch Webber,Email,New York City,New York,10035,East,,,,,Tuesday,,,,
CA-2019-131065,2019-11-14,Second Class,AA-10375,Allen Armold,Email,Atlanta,Georgia,30318,South,,2019-11-20,,,Thursday,,Wednesday,,
CA-2017-104283,2017-06-27,Standard Class,LM-17065,Liz MacKendrick,Email,Southaven,Mississippi,38671,South,,,,,Tuesday,,,,
CA-2018-113145,2018-11-01,Standard Class,VD-21670,Valerie Dominguez,Email,New York City,New York,10011,East,,,,,Thursday,,,,
CA-2019-106558,2019-01-17,Standard Class,DL-13495,Dionis Lloyd,Sales,Columbus,Georgia,31907,South,,2019-01-23,,,Thursday,,Wednesday,,
CA-2020-116225,2020-11-05,Standard Class,SV-20935,Susan Vittorini,Email,New York City,New York,10009,East,,2020-11-12,,,Thursday,,Thursday,,
CA-2020-122035,2020-07-20,Standard Class,EM-13825,Elizabeth Moffitt,Sales,Sioux Falls,South Dakota,57103,Central,,2020-07-29,,,Monday,,Wednesday,,
CA-2020-165491,2020-03-20,Standard Class,HW-14935,Helen Wasserman,Sales,Seattle,Washington,98115,West,,2020-03-25,,,Friday,,Wednesday,,
US-2017-143231,2017-12-31,First Class,GM-14455,Gary Mitchum,Facebook,Franklin,Massachusetts,2038,East,,,,,Sunday,,,,
CA-2018-111514,2018-08-31,First Class,SC-20260,Scott Cohen,Sales,San Francisco,California,94122,West,,,,,Friday,,,,
CA-2020-155152,2020-07-07,Second Class,MP-17965,Michael Paige,Sales,Warwick,Rhode Island,2886,East,,2020-07-10,,,Tuesday,,Friday,,
US-2018-127040,2018-12-06,Standard Class,SG-20605,Speros Goranitis,Email,New York City,New York,10009,East,,,,,Thursday,,,,
CA-2018-137897,2018-11-14,Standard Class,PJ-18835,Patrick Jones,Sales,New York City,New York,10035,East,,,,,Wednesday,,,,
CA-2020-108574,2020-10-07,Standard Class,MG-18145,Mike Gockenbach,Email,Los Angeles,California,90045,West,,2020-10-14,,,Wednesday,,Wednesday,,
CA-2020-168655,2020-10-12,Standard Class,ML-18040,Michelle Lonsdale,Sales,Albuquerque,New Mexico,87105,West,,2020-10-21,,,Monday,,Wednesday,,
CA-2020-159597,2020-11-09,Standard Class,MC-17590,Matt Collister,Sales,Coachella,California,92236,West,,2020-11-18,2020-11-16,2020-11-18,Monday,,Wednesday,Monday,Wednesday
US-2020-147669,2020-12-25,Standard Class,SV-20935,Susan Vittorini,Email,Fairfield,Ohio,45014,East,,2021-01-04,,,Friday,,Monday,,
CA-2019-146934,2019-05-22,Standard Class,AF-10870,Art Ferguson,Email,Passaic,New Jersey,7055,East,,2019-05-29,,,Wednesday,,Wednesday,,
CA-2020-140949,2020-03-17,Second Class,DB-13405,Denny Blanton,Email,New York City,New York,10011,East,2020-03-30,2020-03-25,,,Tuesday,Monday,Wednesday,,
CA-2019-114972,2019-11-03,First Class,PF-19225,Phillip Flathmann,Email,Los Angeles,California,90032,West,,2019-11-08,,,Sunday,,Friday,,
CA-2020-163902,2020-03-02,Standard Class,MY-17380,Maribeth Yedwab,Sales,Los Angeles,California,90045,West,,2020-03-11,,,Monday,,Wednesday,,
