Index,Order ID,Order Date_x,Ship Mode_x,Customer ID,Customer Name_x,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Arrival Scan Date,Customer Name_y,Row ID,Order Date_y,On Truck Scan Date,Ship Mode_y,Ready to Ship Date,Pickup Date,delivery_time_days,total_delivery_time_days,order_Month,Order_YearMonth,order_weekday,on_truck_weekday,warehouse_time_days
3516,CA-2019-168536,2019-12-20,Standard Class,SC-20800,Stuart Calhoun,Email,United States,Jackson,Mississippi,39212.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002323,66.30000000000001,3,0.0,8.619000000000003,2019-12-30,Stuart Calhoun,3516.0,2019-12-20,2019-12-24,Standard Processing,,,6,10,December,2019-12,Friday,Tuesday,4
3524,CA-2019-137673,2019-09-05,Standard Class,ML-17395,Marina Lichtenstein,Sales,United States,San Diego,California,92105.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002345,116.0,8,0.0,29.0,2019-09-16,Marina Lichtenstein,3524.0,2019-09-05,2019-09-11,Standard Processing,,,5,11,September,2019-09,Thursday,Wednesday,6
3612,US-2019-131674,2019-11-29,Second Class,NC-18535,Nick Crebassa,Sales,United States,Dallas,Texas,75217.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004864,58.416,2,0.2,16.794600000000003,2019-12-10,Nick Crebassa,3612.0,2019-11-29,2019-12-04,Standard Processing,,,6,11,November,2019-11,Friday,Wednesday,5
3802,CA-2019-156503,2019-10-14,Standard Class,NC-18415,Nathan Cano,Email,United States,Jacksonville,North Carolina,28540.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002473,22.704,1,0.2,5.9598,2019-10-28,Nathan Cano,3801.0,2019-10-14,2019-10-23,Standard Processing,,,5,14,October,2019-10,Monday,Wednesday,9
3891,US-2019-163881,2019-11-24,Standard Class,SP-20860,Sung Pak,Sales,United States,Los Angeles,California,90036.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003033,659.9,2,0.0,217.76699999999997,2019-12-06,Sung Pak,3891.0,2019-11-24,2019-12-04,Standard Processing,,,2,12,November,2019-11,Sunday,Wednesday,10
4186,CA-2019-111493,2019-10-21,First Class,CM-12160,Charles McCrossin,Email,United States,Baltimore,Maryland,21215.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004510,98.16,6,0.0,9.815999999999995,2019-10-28,Charles McCrossin,4186.0,2019-10-21,2019-10-23,Express,,,5,7,October,2019-10,Monday,Wednesday,2
5251,US-2019-169369,2019-12-12,Standard Class,EC-14050,Erin Creighton,Email,United States,Columbus,Georgia,31907.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10001314,249.95,5,0.0,19.99599999999997,2019-12-24,Erin Creighton,5251.0,2019-12-12,2019-12-20,Standard Processing,,,4,12,December,2019-12,Thursday,Friday,8
6130,CA-2020-162033,2020-03-26,Standard Class,EM-14200,Evan Minnotte,Facebook,United States,Virginia Beach,Virginia,23464.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003116,53.25,3,0.0,20.7675,2020-04-07,Evan Minnotte,6130.0,2020-03-26,2020-04-03,Standard Processing,,,4,12,March,2020-03,Thursday,Friday,8
6576,CA-2020-123085,2020-03-03,Standard Class,EJ-13720,Ed Jacobs,Email,United States,Los Angeles,California,90008.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000990,1049.44,8,0.0,440.7648,2020-03-16,Ed Jacobs,6576.0,2020-03-03,2020-03-11,Standard Processing,,,5,13,March,2020-03,Tuesday,Wednesday,8
6802,CA-2019-109827,2019-12-25,Standard Class,LW-16825,Laurel Workman,Sales,United States,Phoenix,Arizona,85023.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002217,45.120000000000005,3,0.2,-7.896000000000001,2020-01-07,Laurel Workman,6800.0,2019-12-25,2020-01-03,Standard Processing,,,4,13,December,2019-12,Wednesday,Friday,9
7172,CA-2020-125381,2020-04-25,Second Class,SG-20605,Speros Goranitis,Email,United States,San Francisco,California,94109.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000158,107.97,3,0.0,22.6737,2020-05-08,Speros Goranitis,7172.0,2020-04-25,2020-05-01,Standard Processing,,,7,13,April,2020-04,Saturday,Friday,6
7182,CA-2019-138667,2019-12-27,Second Class,MW-18220,Mitch Webber,Email,United States,Lancaster,Ohio,43130.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003063,40.0,2,0.2,0.5,2020-01-06,Mitch Webber,7182.0,2019-12-27,2020-01-03,Standard Processing,,,3,10,December,2019-12,Friday,Friday,7
7280,CA-2019-108224,2019-05-14,First Class,TH-21235,Tiffany House,Sales,United States,Yuma,Arizona,85364.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,185.528,7,0.2,48.7011,2019-05-20,Tiffany House,7280.0,2019-05-14,2019-05-15,Express,,,5,6,May,2019-05,Tuesday,Wednesday,1
7567,CA-2020-140802,2020-04-21,First Class,KN-16390,Katherine Nockton,Sales,United States,Houston,Texas,77070.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001998,47.976,3,0.2,8.395799999999994,2020-04-27,Katherine Nockton,7567.0,2020-04-21,2020-04-24,Express,,,3,6,April,2020-04,Tuesday,Friday,3
7891,CA-2019-148684,2019-12-25,Standard Class,TS-21655,Trudy Schmidt,Email,United States,Fayetteville,Arkansas,72701.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10001838,399.98,2,0.0,171.99140000000003,2020-01-06,Trudy Schmidt,7890.0,2019-12-25,2020-01-03,Standard Processing,,,3,12,December,2019-12,Wednesday,Friday,9
8496,CA-2019-143154,2019-12-02,Standard Class,AS-10225,Alan Schoenberger,Sales,United States,Longmont,Colorado,80501.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002942,165.60000000000002,3,0.2,-6.210000000000015,2019-12-16,Alan Schoenberger,8496.0,2019-12-02,2019-12-11,Standard Processing,,,5,14,December,2019-12,Monday,Wednesday,9
8694,CA-2019-118311,2019-10-24,Standard Class,ED-13885,Emily Ducich,Facebook,United States,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000892,450.0,5,0.0,162.0,2019-11-04,Emily Ducich,8694.0,2019-10-24,2019-10-30,Standard Processing,,,5,11,October,2019-10,Thursday,Wednesday,6
8964,CA-2019-157280,2019-11-05,First Class,LW-17125,Liz Willingham,Email,United States,Virginia Beach,Virginia,23464.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10000057,89.97,3,0.0,18.893699999999995,2019-11-11,Liz Willingham,8963.0,2019-11-05,2019-11-08,Express,,,3,6,November,2019-11,Tuesday,Friday,3
9559,CA-2019-129280,2019-05-03,First Class,SM-20905,Susan MacKendrick,Email,United States,Newark,Ohio,43055.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52000000000004,5,0.2,34.786500000000004,2019-05-13,Susan MacKendrick,9559.0,2019-05-03,2019-05-06,Express,,,7,10,May,2019-05,Friday,Monday,3
9654,CA-2020-161893,2020-01-23,Standard Class,HP-14815,Harold Pawlan,Facebook,United States,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001874,95.984,2,0.2,11.997999999999998,2020-02-03,Harold Pawlan,9654.0,2020-01-23,2020-01-29,Standard Processing,,,5,11,January,2020-01,Thursday,Wednesday,6
9719,CA-2019-108210,2019-05-30,First Class,AT-10735,Annie Thurman,Email,United States,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000109,223.96,5,0.2,11.198000000000016,2019-06-03,Annie Thurman,9718.0,2019-05-30,2019-05-31,Express,,,3,4,May,2019-05,Thursday,Friday,1
9863,CA-2020-113278,2020-01-14,Standard Class,HR-14770,Hallie Redmond,Facebook,United States,Richmond,Indiana,47374.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001445,12.12,4,0.0,2.5451999999999995,2020-01-27,Hallie Redmond,9859.0,2020-01-14,2020-01-22,Standard Processing,,,5,13,January,2020-01,Tuesday,Wednesday,8
9987,CA-2019-125794,2019-09-29,Standard Class,ML-17410,Maris LaWare,Email,United States,Los Angeles,California,90008.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003399,36.24,1,0.0,15.2208,2019-10-11,Maris LaWare,9987.0,2019-09-29,2019-10-07,Standard Processing,,,4,12,September,2019-09,Sunday,Monday,8
289,CA-2019-112697,2019-12-18,Second Class,AH-10195,Alan Haines,Sales,United States,Tamarac,Florida,33319.0,South,Power Muesli,Hunger Buster,OFF-SU-10000646,961.48,5,0.2,-204.31449999999995,2019-12-27,Alan Haines,287.0,2019-12-18,2019-12-23,Standard Processing,,,4,9,December,2019-12,Wednesday,Monday,5
466,CA-2019-109869,2019-04-22,Standard Class,TN-21040,Tanja Norvell,Facebook,United States,Phoenix,Arizona,85023.0,West,Power Muesli,Hunger Buster,OFF-SU-10003505,185.376,2,0.2,-34.75800000000002,2019-05-07,Tanja Norvell,463.0,2019-04-22,2019-05-01,Standard Processing,,,6,15,April,2019-04,Monday,Wednesday,9
743,US-2019-146710,2019-08-27,Standard Class,SS-20875,Sung Shariari,Email,United States,Dallas,Texas,75220.0,Central,Power Muesli,Hunger Buster,OFF-SU-10004498,51.52000000000001,5,0.2,-10.948000000000002,2019-09-09,Sung Shariari,743.0,2019-08-27,2019-09-04,Standard Processing,,,5,13,August,2019-08,Tuesday,Wednesday,8
845,CA-2019-161669,2019-11-07,First Class,EM-14095,Eudokia Martin,Sales,United States,Los Angeles,California,90036.0,West,Power Muesli,Hunger Buster,OFF-SU-10002503,11.36,2,0.0,3.2944,2019-11-18,Eudokia Martin,843.0,2019-11-07,2019-11-12,Express,,,6,11,November,2019-11,Thursday,Tuesday,5
2868,CA-2019-115588,2019-11-10,Second Class,AF-10885,Art Foster,Email,United States,Toledo,Ohio,43615.0,East,Power Muesli,Hunger Buster,OFF-SU-10001225,14.720000000000002,5,0.2,-3.312000000000001,2019-11-18,Art Foster,2868.0,2019-11-10,2019-11-15,Standard Processing,,,3,8,November,2019-11,Sunday,Friday,5
2882,CA-2019-102932,2019-09-19,Second Class,SD-20485,Shirley Daniels,Facebook,United States,Orange,New Jersey,7050.0,East,Power Muesli,Hunger Buster,OFF-SU-10000381,27.93,3,0.0,8.099699999999999,2019-09-30,Shirley Daniels,2881.0,2019-09-19,2019-09-25,Standard Processing,2019-09-23,2019-09-25,5,11,September,2019-09,Thursday,Wednesday,6
4705,CA-2019-158435,2019-05-17,First Class,AG-10900,Arthur Gainer,Email,United States,Waterbury,Connecticut,6708.0,East,Power Muesli,Hunger Buster,OFF-SU-10000381,65.17,7,0.0,18.8993,2019-05-27,Arthur Gainer,4705.0,2019-05-17,2019-05-20,Express,,,7,10,May,2019-05,Friday,Monday,3
5242,CA-2019-110730,2019-09-23,Second Class,CM-11815,Candace McMahon,Sales,United States,Seattle,Washington,98115.0,West,Power Muesli,Hunger Buster,OFF-SU-10004737,13.68,2,0.0,3.6936,2019-10-03,Candace McMahon,5242.0,2019-09-23,2019-09-27,Standard Processing,,,6,10,September,2019-09,Monday,Friday,4
5333,CA-2019-123120,2019-09-04,Standard Class,CV-12295,Christina VanderZanden,Email,United States,New York City,New York,10011.0,East,Power Muesli,Hunger Buster,OFF-SU-10002503,22.72,4,0.0,6.588799999999999,2019-09-16,Christina VanderZanden,5331.0,2019-09-04,2019-09-11,Standard Processing,2019-09-09,2019-09-11,5,12,September,2019-09,Wednesday,Wednesday,7
7111,CA-2019-109666,2019-04-19,Standard Class,KM-16720,Kunst Miller,Email,United States,New York City,New York,10035.0,East,Power Muesli,Hunger Buster,OFF-SU-10002522,7.76,2,0.0,2.250399999999999,2019-05-03,Kunst Miller,7108.0,2019-04-19,2019-04-29,Standard Processing,,,4,14,April,2019-04,Friday,Monday,10
7383,CA-2019-105732,2019-09-13,Standard Class,AG-10270,Alejandro Grove,Email,United States,Omaha,Nebraska,68104.0,Central,Power Muesli,Hunger Buster,OFF-SU-10004782,16.9,2,0.0,5.069999999999999,2019-09-25,Alejandro Grove,7380.0,2019-09-13,2019-09-20,Standard Processing,,,5,12,September,2019-09,Friday,Friday,7
1508,CA-2019-134208,2019-09-17,Standard Class,CS-12505,Cindy Stewart,Email,United States,Columbus,Georgia,31907.0,South,Special Projects Muesil,Low Sugar,TEC-MA-10004458,396.0,4,0.0,190.08,2019-09-26,Cindy Stewart,1508.0,2019-09-17,2019-09-25,Standard Processing,,,1,9,September,2019-09,Tuesday,Wednesday,8
2419,CA-2019-107202,2019-05-21,Standard Class,LC-16930,Linda Cazamias,Sales,United States,Sparks,Nevada,89431.0,West,Special Projects Muesil,Low Sugar,TEC-MA-10000112,2396.4,10,0.2,179.73000000000013,2019-06-03,Linda Cazamias,2419.0,2019-05-21,2019-05-29,Standard Processing,,,5,13,May,2019-05,Tuesday,Wednesday,8
3012,CA-2020-134845,2020-04-17,Standard Class,SR-20425,Sharelle Roach,Facebook,United States,Louisville,Colorado,80027.0,West,Special Projects Muesil,Low Sugar,TEC-MA-10000822,2549.9850000000006,5,0.7,-3399.980000000001,2020-04-30,Sharelle Roach,3011.0,2020-04-17,2020-04-24,Standard Processing,,,6,13,April,2020-04,Friday,Friday,7
6575,CA-2019-160535,2019-11-25,Standard Class,BP-11050,Barry Pond,Sales,United States,Plainfield,New Jersey,7060.0,East,Special Projects Muesil,Low Sugar,TEC-MA-10004255,319.92,8,0.0,118.37040000000002,2019-12-09,Barry Pond,6574.0,2019-11-25,2019-12-04,Standard Processing,,,5,14,November,2019-11,Monday,Wednesday,9
6609,CA-2019-148852,2019-05-26,Standard Class,SV-20785,Stewart Visinsky,Email,United States,Santa Ana,California,92704.0,West,Special Projects Muesil,Low Sugar,TEC-MA-10002428,371.97600000000006,3,0.2,116.24249999999996,2019-06-10,Stewart Visinsky,6605.0,2019-05-26,2019-06-05,Standard Processing,,,5,15,May,2019-05,Sunday,Wednesday,10
8943,CA-2019-159023,2019-11-03,First Class,NW-18400,Natalie Webber,Email,United States,Portland,Oregon,97206.0,West,Special Projects Muesil,Low Sugar,TEC-MA-10003337,179.99100000000004,3,0.7,-251.98739999999992,2019-11-11,Natalie Webber,8942.0,2019-11-03,2019-11-06,Express,,,5,8,November,2019-11,Sunday,Wednesday,3
1060,CA-2019-105284,2019-11-24,Standard Class,MG-17650,Matthew Grinstein,Facebook,United States,Philadelphia,Pennsylvania,19143.0,East,Power Muesli,Maple Sweetened,OFF-FA-10001754,4.416,3,0.2,1.6008,2019-12-09,Matthew Grinstein,1060.0,2019-11-24,2019-12-04,Standard Processing,,,5,15,November,2019-11,Sunday,Wednesday,10
2380,CA-2019-118052,2019-05-06,Standard Class,BE-11455,Brad Eason,Facebook,United States,Lorain,Ohio,44052.0,East,Power Muesli,Maple Sweetened,OFF-FA-10004248,7.216,2,0.2,1.7138000000000002,2019-05-15,Brad Eason,2380.0,2019-05-06,2019-05-13,Standard Processing,,,2,9,May,2019-05,Monday,Monday,7
2919,CA-2019-160129,2019-11-23,First Class,LS-17200,Luke Schmidt,Sales,United States,Philadelphia,Pennsylvania,19140.0,East,Power Muesli,Maple Sweetened,OFF-FA-10002763,15.8,5,0.2,2.3699999999999983,2019-11-29,Luke Schmidt,2919.0,2019-11-23,2019-11-25,Express,,,4,6,November,2019-11,Saturday,Monday,2
4744,CA-2020-168123,2020-03-05,First Class,JD-16060,Julia Dunbar,Email,United States,Rochester,Minnesota,55901.0,Central,Power Muesli,Maple Sweetened,OFF-FA-10002763,7.9,2,0.0,2.528,2020-03-09,Julia Dunbar,4744.0,2020-03-05,2020-03-06,Express,,,3,4,March,2020-03,Thursday,Friday,1
4947,CA-2019-151372,2019-09-05,First Class,JH-15985,Joseph Holt,Email,United States,Redondo Beach,California,90278.0,West,Power Muesli,Maple Sweetened,OFF-FA-10000304,4.36,2,0.0,1.7876000000000003,2019-09-10,Joseph Holt,4945.0,2019-09-05,2019-09-06,Express,,,4,5,September,2019-09,Thursday,Friday,1
5383,CA-2019-149195,2019-09-05,Second Class,DM-13525,Don Miller,Sales,United States,Houston,Texas,77070.0,Central,Power Muesli,Maple Sweetened,OFF-FA-10001843,15.808000000000002,8,0.2,5.3352,2019-09-13,Don Miller,5382.0,2019-09-05,2019-09-11,Standard Processing,,,2,8,September,2019-09,Thursday,Wednesday,6
6027,CA-2020-136007,2020-02-23,Standard Class,AC-10615,Ann Chong,Sales,United States,Seattle,Washington,98115.0,West,Power Muesli,Maple Sweetened,OFF-FA-10002701,8.4,5,0.0,0.3359999999999996,2020-03-03,Ann Chong,6027.0,2020-02-23,2020-02-26,Standard Processing,,,6,9,February,2020-02,Sunday,Wednesday,3
7788,US-2019-117037,2019-05-17,First Class,LW-17215,Luke Weiss,Email,United States,Chicago,Illinois,60653.0,Central,Power Muesli,Maple Sweetened,OFF-FA-10000936,7.896000000000001,3,0.2,2.4675,2019-05-27,Luke Weiss,7787.0,2019-05-17,2019-05-20,Express,,,7,10,May,2019-05,Friday,Monday,3
8007,CA-2019-139808,2019-10-07,Standard Class,MC-18100,Mick Crebagga,Email,United States,Marysville,Washington,98270.0,West,Power Muesli,Maple Sweetened,OFF-FA-10001883,93.36,12,0.0,0.9335999999999984,2019-10-21,Mick Crebagga,8007.0,2019-10-07,2019-10-15,Standard Processing,,,6,14,October,2019-10,Monday,Tuesday,8
99,CA-2019-149223,2019-09-06,Standard Class,ER-13855,Elpida Rittenbach,Sales,United States,Saint Paul,Minnesota,55106.0,Central,Power Muesli,Mega Protein,OFF-AP-10000358,77.88,6,0.0,22.585199999999997,2019-09-17,Elpida Rittenbach,99.0,2019-09-06,2019-09-13,Standard Processing,2019-09-11,2019-09-13,4,11,September,2019-09,Friday,Friday,7
1537,CA-2019-112389,2019-10-29,Standard Class,JM-15655,Jim Mitchum,Sales,United States,Bridgeton,New Jersey,8302.0,East,Power Muesli,Mega Protein,OFF-AP-10001626,11.67,3,0.0,3.0342,2019-11-11,Jim Mitchum,1536.0,2019-10-29,2019-11-06,Standard Processing,,,5,13,October,2019-10,Tuesday,Wednesday,8
1717,CA-2019-169943,2019-05-19,Standard Class,BN-11515,Bradley Nguyen,Email,United States,New York City,New York,10011.0,East,Power Muesli,Mega Protein,OFF-AP-10001563,242.9,5,0.0,70.44099999999997,2019-06-03,Bradley Nguyen,1717.0,2019-05-19,2019-05-29,Standard Processing,,,5,15,May,2019-05,Sunday,Wednesday,10
2521,CA-2019-124352,2019-10-15,Standard Class,CD-12790,Cynthia Delaney,Facebook,United States,Oklahoma City,Oklahoma,73120.0,Central,Power Muesli,Mega Protein,OFF-AP-10002651,868.5899999999999,3,0.0,251.89109999999988,2019-10-28,Cynthia Delaney,2519.0,2019-10-15,2019-10-23,Standard Processing,,,5,13,October,2019-10,Tuesday,Wednesday,8
2993,CA-2019-134376,2019-10-02,Standard Class,TT-21265,Tim Taslimi,Sales,United States,New York City,New York,10024.0,East,Power Muesli,Mega Protein,OFF-AP-10004532,61.44,3,0.0,16.5888,2019-10-14,Tim Taslimi,2993.0,2019-10-02,2019-10-09,Standard Processing,,,5,12,October,2019-10,Wednesday,Wednesday,7
3005,CA-2019-131499,2019-09-08,First Class,MG-17875,Michael Grace,Facebook,United States,New York City,New York,10011.0,East,Power Muesli,Mega Protein,OFF-AP-10003779,207.48,1,0.0,62.24399999999997,2019-09-16,Michael Grace,3005.0,2019-09-08,2019-09-11,Express,,,5,8,September,2019-09,Sunday,Wednesday,3
3831,CA-2020-141733,2020-05-07,Standard Class,RW-19540,Rick Wilson,Sales,United States,Detroit,Michigan,48234.0,Central,Power Muesli,Mega Protein,OFF-AP-10001563,87.444,2,0.1,18.460399999999986,2020-05-15,Rick Wilson,3828.0,2020-05-07,2020-05-13,Standard Processing,,,2,8,May,2020-05,Thursday,Wednesday,6
4375,CA-2019-158575,2019-11-18,Standard Class,SB-20290,Sean Braxton,Sales,United States,Kent,Ohio,44240.0,East,Power Muesli,Mega Protein,OFF-AP-10002998,103.968,6,0.2,16.894799999999996,2019-12-02,Sean Braxton,4375.0,2019-11-18,2019-11-27,Standard Processing,,,5,14,November,2019-11,Monday,Wednesday,9
4387,CA-2019-156811,2019-10-27,Standard Class,BP-11095,Bart Pistole,Sales,United States,San Francisco,California,94122.0,West,Power Muesli,Mega Protein,OFF-AP-10001366,43.92,4,0.0,11.858400000000003,2019-11-11,Bart Pistole,4387.0,2019-10-27,2019-11-06,Standard Processing,,,5,15,October,2019-10,Sunday,Wednesday,10
4997,CA-2020-155824,2020-03-10,Standard Class,KS-16300,Karen Seio,Sales,United States,Raleigh,North Carolina,27604.0,South,Power Muesli,Mega Protein,OFF-AP-10000390,48.784,1,0.2,3.6587999999999976,2020-03-23,Karen Seio,4997.0,2020-03-10,2020-03-18,Standard Processing,,,5,13,March,2020-03,Tuesday,Wednesday,8
5043,CA-2019-158694,2019-11-10,Second Class,AI-10855,Arianne Irving,Email,United States,Los Angeles,California,90036.0,West,Power Muesli,Mega Protein,OFF-AP-10000055,129.92,4,0.0,38.97599999999999,2019-11-18,Arianne Irving,5042.0,2019-11-10,2019-11-15,Standard Processing,,,3,8,November,2019-11,Sunday,Friday,5
5364,CA-2019-122017,2019-12-29,Standard Class,CD-11920,Carlos Daly,Email,United States,Wichita,Kansas,67212.0,Central,Power Muesli,Mega Protein,OFF-AP-10001293,81.96,2,0.0,22.9488,2020-01-10,Carlos Daly,5363.0,2019-12-29,2020-01-06,Standard Processing,,,4,12,December,2019-12,Sunday,Monday,8
