Index,Order ID,Order Date_x,Ship Mode_x,Customer ID,Customer Name_x,Origin Channel,Country/Region,City,State,Postal Code,Region,Category,Sub-Category,Product ID,Sales,Quantity,Discount,Profit,Order_YearMonth,Order_YearMonth_str,Arrival Scan Date,Customer Name_y,Row ID,Order Date_y,On Truck Scan Date,Ship Mode_y,Ready to Ship Date,Pickup Date
162,CA-2018-119697,2018-12-28,Second Class,EM-13960,Eric Murdock,Email,United States,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003657,54.38400000000001,2,0.2,1.359599999999995,2018-12,12.2018,,,,,,,,
182,CA-2017-166191,2017-12-05,Second Class,DK-13150,David Kendrick,Sales,United States,Decatur,Illinois,62521.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.74399999999997,7,0.2,76.63949999999998,2017-12,12.2017,,,,,,,,
185,CA-2017-158274,2017-11-19,Second Class,RM-19675,Robert Marley,Facebook,United States,Monroe,Louisiana,71203.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002345,29.0,2,0.0,7.25,2017-11,11.2017,,,,,,,,
187,CA-2017-123260,2017-08-26,Standard Class,FM-14290,Frank Merwin,Facebook,United States,Los Angeles,California,90032.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002323,176.8,8,0.0,22.98400000000001,2017-08,08.2017,,,,,,,,
212,CA-2018-101007,2018-02-09,Second Class,MS-17980,Michael Stewart,Sales,United States,Dallas,Texas,75220.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,20.8,2,0.2,6.499999999999999,2018-02,02.2018,,,,,,,,
217,CA-2018-146262,2018-01-02,Standard Class,VW-21775,Victoria Wilson,Sales,United States,Medina,Ohio,44256.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000109,89.584,2,0.2,4.479200000000006,2018-01,01.2018,,,,,,,,
236,US-2020-100930,2020-04-07,Standard Class,CS-12400,Christopher Schild,Facebook,United States,Tampa,Florida,33614.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003832,617.9760000000001,3,0.2,-7.724700000000098,2020-04,04.2020,,,232.0,2020-04-07,2020-04-15,Standard Processing,,
252,CA-2019-145625,2019-09-11,Standard Class,KC-16540,Kelly Collister,Email,United States,San Diego,California,92037.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,3347.37,13,0.0,636.0002999999997,2019-09,09.2019,2019-09-23,Kelly Collister,251.0,2019-09-11,2019-09-18,Standard Processing,2019-09-17,2019-09-18
259,CA-2020-163139,2020-12-01,Second Class,CC-12670,Craig Carreira,Email,United States,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,20.37,3,0.0,6.925800000000001,2020-12,12.2020,,,259.0,2020-12-01,2020-12-04,Standard Processing,,
266,CA-2018-155040,2018-11-10,Standard Class,AH-10210,Alan Hwang,Email,United States,Brentwood,California,94513.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004469,79.9,2,0.0,35.156000000000006,2018-11,11.2018,,,,,,,,
272,CA-2018-155334,2018-07-30,First Class,HA-14920,Helen Andreada,Email,United States,San Francisco,California,94109.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003628,209.92999999999998,7,0.0,92.36920000000002,2018-07,07.2018,,,,,,,,
285,CA-2018-130883,2018-09-26,Standard Class,TB-21520,Tracy Blumstein,Email,United States,Portland,Oregon,97206.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001956,239.80000000000004,5,0.2,47.95999999999999,2018-09,09.2018,,,,,,,,
292,CA-2019-110772,2019-11-20,Second Class,NZ-18565,Nick Zandusky,Facebook,United States,Columbus,Ohio,43229.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002001,255.98400000000004,2,0.2,54.39660000000001,2019-11,11.2019,,,290.0,2019-11-20,2019-11-27,Standard Processing,,
321,CA-2017-164973,2017-11-04,Standard Class,NM-18445,Nathan Mautz,Facebook,United States,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000892,360.0,4,0.0,129.6,2017-11,11.2017,,,,,,,,
325,CA-2019-162138,2019-04-23,Standard Class,GK-14620,Grace Kelly,Sales,United States,Hesperia,California,92345.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001908,99.99,1,0.0,34.9965,2019-04,04.2019,2019-05-06,Grace Kelly,324.0,2019-04-23,2019-05-01,Standard Processing,,
350,CA-2019-129714,2019-09-01,First Class,AB-10060,Adam Bellavance,Facebook,United States,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000290,6.79,1,0.0,2.3086,2019-09,09.2019,,,350.0,2019-09-01,2019-09-04,Express,,
374,US-2017-119137,2017-07-23,Standard Class,AG-10900,Arthur Gainer,Email,United States,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,1023.9360000000001,8,0.2,179.1887999999999,2017-07,07.2017,,,,,,,,
384,CA-2018-125395,2018-06-26,Second Class,LA-16780,Laura Armstrong,Sales,United States,Taylor,Michigan,48180.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004708,41.9,2,0.0,8.799,2018-06,06.2018,,,,,,,,
386,US-2018-168935,2018-11-27,Standard Class,DO-13435,Denny Ordway,Email,United States,Pembroke Pines,Florida,33024.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002335,83.97600000000001,3,0.2,-1.049700000000005,2018-11,11.2018,,,,,,,,
391,CA-2020-101798,2020-12-11,Standard Class,MV-18190,Mike Vittorini,Email,United States,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001998,39.98,2,0.0,13.593199999999996,2020-12,12.2020,,,390.0,2020-12-11,2020-12-16,Standard Processing,,
402,CA-2019-108987,2019-09-08,Second Class,AG-10675,Anna Gayman,Email,United States,Houston,Texas,77036.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000158,57.584,2,0.2,0.7197999999999993,2019-09,09.2019,,,399.0,2019-09-08,2019-09-13,Standard Processing,,
406,CA-2020-117457,2020-12-08,Standard Class,KH-16510,Keith Herrera,Email,United States,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000158,179.95000000000002,5,0.0,37.789500000000004,2020-12,12.2020,,,406.0,2020-12-08,2020-12-16,Standard Processing,,
422,CA-2017-142048,2017-06-22,First Class,JE-15745,Joel Eaton,Email,United States,Louisville,Colorado,80027.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004114,196.752,6,0.2,56.56620000000001,2017-06,06.2017,,,,,,,,
431,US-2019-123750,2019-04-15,Standard Class,RB-19795,Ross Baird,Facebook,United States,Gastonia,North Carolina,28052.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004659,408.74399999999997,7,0.2,76.63949999999998,2019-04,04.2019,,,430.0,2019-04-15,2019-04-24,Standard Processing,,
436,US-2017-150574,2017-12-19,Standard Class,MK-18160,Mike Kennedy,Email,United States,Jacksonville,Florida,32216.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002600,247.8,5,0.2,-18.584999999999994,2017-12,12.2017,,,,,,,,
456,CA-2019-100153,2019-12-13,Standard Class,KH-16630,Ken Heidel,Sales,United States,Norman,Oklahoma,73071.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,63.88,4,0.0,24.913200000000003,2019-12,12.2019,,,456.0,2019-12-13,2019-12-18,Standard Processing,,
461,CA-2018-109638,2018-12-15,Standard Class,JH-15985,Joseph Holt,Email,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004571,899.91,9,0.0,377.96220000000005,2018-12,12.2018,,,,,,,,
482,CA-2017-134677,2017-10-06,Standard Class,XP-21865,Xylona Preis,Email,United States,San Diego,California,92024.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001445,9.09,3,0.0,1.9088999999999996,2017-10,10.2017,,,,,,,,
484,CA-2017-127691,2017-07-22,Standard Class,EM-14065,Erin Mull,Email,United States,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002567,159.98,2,0.0,57.5928,2017-07,07.2017,,,,,,,,
490,CA-2017-133753,2017-06-09,Second Class,CW-11905,Carl Weiss,Facebook,United States,Huntsville,Texas,77340.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000303,63.98400000000001,2,0.2,10.397399999999998,2017-06,06.2017,,,,,,,,
494,CA-2019-169166,2019-05-09,Standard Class,SS-20590,Sonia Sunley,Email,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000991,93.98,2,0.0,13.157200000000003,2019-05,05.2019,2019-05-20,Sonia Sunley,494.0,2019-05-09,2019-05-15,Standard Processing,,
512,CA-2020-135307,2020-11-26,First Class,LS-17245,Lynn Smith,Email,United States,Gladstone,Missouri,64118.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10002399,38.04,2,0.0,12.172799999999999,2020-11,11.2020,,,511.0,2020-11-26,2020-11-27,Express,2020-11-27,2020-11-27
520,CA-2018-157812,2018-03-22,Standard Class,DB-13210,Dean Braden,Email,United States,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000171,18.392,1,0.2,5.2877,2018-03,03.2018,,,,,,,,
525,US-2019-139486,2019-05-21,First Class,LH-17155,Logan Haushalter,Email,United States,Los Angeles,California,90032.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003832,66.26,2,0.0,27.166600000000003,2019-05,05.2019,,,524.0,2019-05-21,2019-05-24,Express,,
541,CA-2017-140795,2017-02-01,First Class,BD-11500,Bradley Drucker,Email,United States,Green Bay,Wisconsin,54302.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001432,468.90000000000003,6,0.0,206.31600000000006,2017-02,02.2017,,,,,,,,
544,CA-2017-103849,2017-05-11,Standard Class,PG-18895,Paul Gonzalez,Email,United States,Fort Worth,Texas,76106.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001465,58.112,2,0.2,7.263999999999994,2017-05,05.2017,,,,,,,,
594,CA-2017-135405,2017-01-09,Standard Class,MS-17830,Melanie Seite,Email,United States,Laredo,Texas,78041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001266,31.200000000000003,3,0.2,9.749999999999996,2017-01,01.2017,,,,,,,,
632,US-2019-135720,2019-12-11,Second Class,FM-14380,Fred McMath,Email,United States,Aurora,Colorado,80013.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.80000000000001,5,0.2,29.950000000000003,2019-12,12.2019,,,631.0,2019-12-11,2019-12-16,Standard Processing,,
634,CA-2020-144694,2020-09-24,Second Class,BD-11605,Brian Dahlen,Email,United States,Miami,Florida,33180.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002857,17.880000000000003,3,0.2,2.458499999999999,2020-09,09.2020,,,634.0,2020-09-24,2020-09-30,Standard Processing,,
644,CA-2020-106103,2020-06-10,Standard Class,SC-20305,Sean Christensen,Email,United States,Rochester Hills,Michigan,48307.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,132.52,4,0.0,54.333200000000005,2020-06,06.2020,,,644.0,2020-06-10,2020-06-17,Standard Processing,,
651,CA-2019-160745,2019-12-11,Second Class,AR-10825,Anthony Rawles,Sales,United States,Vancouver,Washington,98661.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001142,316.0,4,0.0,31.599999999999966,2019-12,12.2019,,,649.0,2019-12-11,2019-12-18,Standard Processing,,
654,CA-2020-140844,2020-06-19,Standard Class,AR-10405,Allen Rosenblatt,Sales,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001101,103.12,8,0.0,10.311999999999998,2020-06,06.2020,,,653.0,2020-06-19,2020-06-24,Standard Processing,,
676,CA-2020-130351,2020-12-05,First Class,RB-19570,Rob Beeghly,Email,United States,Columbus,Indiana,47201.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,99.39000000000001,3,0.0,40.749900000000004,2020-12,12.2020,,,674.0,2020-12-05,2020-12-11,Express,,
678,US-2020-119438,2020-03-18,Standard Class,CD-11980,Carol Darley,Email,United States,Tyler,Texas,75701.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003614,27.816000000000003,3,0.2,4.520099999999996,2020-03,03.2020,,,677.0,2020-03-18,2020-03-25,Standard Processing,,
686,CA-2017-157784,2017-07-05,First Class,MC-17845,Michael Chen,Email,United States,Jackson,Mississippi,39212.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003911,479.97,3,0.0,163.1898,2017-07,07.2017,,,,,,,,
693,CA-2018-131534,2018-03-28,Standard Class,AB-10165,Alan Barnes,Email,United States,Los Angeles,California,90036.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10002253,166.24,1,0.0,24.936000000000007,2018-03,03.2018,,,,,,,,
707,CA-2017-138527,2017-09-12,Standard Class,BN-11470,Brad Norvell,Sales,United States,Cary,North Carolina,27511.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002399,15.216000000000001,1,0.2,2.282399999999999,2017-09,09.2017,,,,,,,,
708,CA-2017-112158,2017-12-02,First Class,DP-13165,David Philippe,Email,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,119.96,4,0.0,52.78240000000001,2017-12,12.2017,,,,,,,,
715,US-2020-100048,2020-05-19,Standard Class,RS-19765,Roland Schwarz,Sales,United States,Mount Vernon,New York,10550.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001606,299.96999999999997,3,0.0,113.9886,2020-05,05.2020,,,713.0,2020-05-19,2020-05-27,Standard Processing,,
734,CA-2020-131954,2020-01-21,Standard Class,DS-13030,Darrin Sayre,Facebook,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,179.97,3,0.0,86.38560000000001,2020-01,01.2020,2020-02-03,Darrin Sayre,733.0,2020-01-21,2020-01-29,Standard Processing,,
739,CA-2017-132500,2017-09-08,Standard Class,GZ-14470,Gary Zandusky,Email,United States,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001383,49.98,2,0.0,8.496599999999994,2017-09,09.2017,,,,,,,,
758,CA-2017-106803,2017-12-29,Standard Class,DC-13285,Debra Catini,Email,United States,Cottage Grove,Minnesota,55016.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001267,119.8,4,0.0,47.92,2017-12,12.2017,,,,,,,,
766,CA-2017-162775,2017-01-13,Second Class,CS-12250,Chris Selesnick,Sales,United States,Bossier City,Louisiana,71111.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10003174,646.74,6,0.0,258.696,2017-01,01.2017,,,,,,,,
783,US-2018-157014,2018-10-03,Second Class,BM-11785,Bryan Mills,Email,United States,Columbus,Ohio,43229.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002167,24.0,2,0.2,-2.6999999999999993,2018-10,10.2018,,,,,,,,
809,CA-2018-140921,2018-02-03,First Class,AA-10375,Allen Armold,Email,United States,Omaha,Nebraska,68104.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004901,149.97,3,0.0,50.9898,2018-02,02.2018,,,,,,,,
813,CA-2017-151995,2017-10-13,First Class,ZC-21910,Zuschuss Carroll,Email,United States,Edmonds,Washington,98026.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001101,25.78,2,0.0,2.5779999999999994,2017-10,10.2017,,,,,,,,
815,CA-2020-143686,2020-05-14,First Class,PJ-19015,Pauline Johnson,Email,United States,Santa Ana,California,92704.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001838,1399.93,7,0.0,601.9699,2020-05,05.2020,,,814.0,2020-05-14,2020-05-15,Express,,
823,CA-2020-101434,2020-06-20,Standard Class,TR-21325,Toby Ritter,Email,United States,Belleville,New Jersey,7109.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002402,239.96999999999997,3,0.0,71.99099999999999,2020-06,06.2020,,,823.0,2020-06-20,2020-06-24,Standard Processing,,
825,US-2017-102071,2017-05-09,Standard Class,PG-18820,Patrick Gardner,Email,United States,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003441,67.8,4,0.0,4.067999999999998,2017-05,05.2017,,,,,,,,
850,CA-2017-107755,2017-02-07,Standard Class,CK-12760,Cyma Kinney,Sales,United States,Linden,New Jersey,7036.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000710,115.36,7,0.0,49.60480000000001,2017-02,02.2017,,,,,,,,
863,CA-2019-134474,2019-01-05,Second Class,AJ-10795,Anthony Johnson,Sales,United States,Jacksonville,Florida,32216.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10001714,191.472,6,0.2,40.6878,2019-01,01.2019,,,863.0,2019-01-05,2019-01-11,Standard Processing,,
877,CA-2019-116736,2019-01-17,Standard Class,CC-12430,Chuck Clark,Facebook,United States,Concord,New Hampshire,3301.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003628,29.99,1,0.0,13.195600000000002,2019-01,01.2019,,,876.0,2019-01-17,2019-01-23,Standard Processing,,
890,CA-2020-132934,2020-06-20,Standard Class,JE-15475,Jeremy Ellison,Email,United States,New Rochelle,New York,10801.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000927,149.95,5,0.0,14.994999999999994,2020-06,06.2020,,,890.0,2020-06-20,2020-06-24,Standard Processing,,
911,CA-2020-137596,2020-09-02,Standard Class,BE-11335,Bill Eplett,Facebook,United States,Jackson,Michigan,49201.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10004666,1928.7800000000002,7,0.0,829.3754000000002,2020-09,09.2020,,,910.0,2020-09-02,2020-09-09,Standard Processing,,
915,CA-2020-102519,2020-11-27,First Class,BM-11650,Brian Moss,Sales,United States,Milwaukee,Wisconsin,53209.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,143.73000000000002,9,0.0,56.05470000000001,2020-11,11.2020,,,914.0,2020-11-27,2020-11-30,Express,,
922,CA-2018-111164,2018-04-11,Standard Class,SE-20110,Sanjit Engle,Email,United States,New York City,New York,10009.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002473,85.14,3,0.0,34.907399999999996,2018-04,04.2018,,,,,,,,
927,CA-2017-132962,2017-09-13,First Class,JM-15535,Jessica Myrick,Email,United States,Philadelphia,Pennsylvania,19143.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004353,252.00000000000003,5,0.2,53.550000000000004,2017-09,09.2017,,,,,,,,
938,US-2020-111745,2020-11-05,First Class,RA-19885,Ruben Ausman,Sales,United States,Farmington,New Mexico,87401.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,159.99,1,0.0,54.39659999999999,2020-11,11.2020,,,938.0,2020-11-05,2020-11-06,Express,,
1002,CA-2018-124891,2018-07-31,First Class,RH-19495,Rick Hansen,Email,United States,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003033,2309.65,7,0.0,762.1844999999998,2018-07,07.2018,,,,,,,,
1015,US-2018-126214,2018-12-21,Second Class,JS-15880,John Stevenson,Email,United States,Seattle,Washington,98103.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003198,99.6,1,0.0,36.852,2018-12,12.2018,,,,,,,,
1042,CA-2019-102981,2019-09-06,Second Class,MO-17500,Mary O'Rourke,Email,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004761,31.86,2,0.0,11.151,2019-09,09.2019,2019-09-16,Mary O'Rourke,1042.0,2019-09-06,2019-09-11,Standard Processing,2019-09-09,2019-09-11
1050,CA-2017-139192,2017-05-27,Second Class,LC-16885,Lena Creighton,Email,United States,San Francisco,California,94109.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001606,99.99,1,0.0,37.9962,2017-05,05.2017,,,,,,,,
1076,CA-2019-134348,2019-11-12,Standard Class,MS-17710,Maurice Satty,Email,United States,Mesa,Arizona,85204.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003447,31.983999999999998,2,0.2,1.998999999999998,2019-11,11.2019,,,1074.0,2019-11-12,2019-11-20,Standard Processing,,
1101,CA-2019-107216,2019-06-14,First Class,PV-18985,Paul Van Hugh,Facebook,United States,San Francisco,California,94122.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001013,29.29,1,0.0,9.665699999999998,2019-06,06.2019,,,1099.0,2019-06-14,2019-06-17,Express,,
1116,CA-2020-140585,2020-12-18,Second Class,RA-19915,Russell Applegate,Email,United States,Encinitas,California,92024.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003610,119.98,2,0.0,57.5904,2020-12,12.2020,,,1114.0,2020-12-18,2020-12-24,Standard Processing,,
1119,CA-2018-142755,2018-09-04,Standard Class,CS-12355,Christine Sundaresam,Email,United States,Roswell,Georgia,30076.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10002049,619.9499999999999,5,0.0,111.59099999999995,2018-09,09.2018,,,,,,,,
1167,CA-2018-125416,2018-11-02,First Class,KC-16540,Kelly Collister,Email,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001552,447.93,9,0.0,49.27229999999999,2018-11,11.2018,,,,,,,,
1180,CA-2019-168081,2019-04-24,Second Class,CA-12055,Cathy Armstrong,Facebook,United States,Houston,Texas,77070.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003174,258.696,3,0.2,64.674,2019-04,04.2019,2019-05-06,Cathy Armstrong,1180.0,2019-04-24,2019-05-01,Standard Processing,,
1198,CA-2019-130946,2019-04-08,Standard Class,ZC-21910,Zuschuss Carroll,Email,United States,Houston,Texas,77041.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001990,431.92800000000005,9,0.2,64.78919999999995,2019-04,04.2019,,,1198.0,2019-04-08,2019-04-15,Standard Processing,,
1217,US-2020-118087,2020-09-09,Standard Class,SP-20620,Stefania Perrino,Sales,United States,Philadelphia,Pennsylvania,19134.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004469,95.88000000000001,3,0.2,28.764000000000006,2020-09,09.2020,,,1213.0,2020-09-09,2020-09-16,Standard Processing,,
1224,CA-2019-126004,2019-12-04,First Class,BM-11140,Becky Martin,Email,United States,New York City,New York,10024.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10001432,78.15,1,0.0,34.38600000000001,2019-12,12.2019,,,1223.0,2019-12-04,2019-12-06,Express,,
1260,US-2019-168620,2019-12-24,Second Class,RB-19795,Ross Baird,Facebook,United States,Charlotte,North Carolina,28205.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004469,255.68000000000004,8,0.2,76.70400000000001,2019-12,12.2019,,,1258.0,2019-12-24,2020-01-03,Standard Processing,,
1277,CA-2019-119186,2019-05-26,First Class,MS-17710,Maurice Satty,Email,United States,Fort Worth,Texas,76106.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10000580,63.992,1,0.2,-7.199099999999996,2019-05,05.2019,2019-05-31,Maurice Satty,1274.0,2019-05-26,2019-05-28,Express,,
1279,CA-2017-163293,2017-09-08,First Class,KC-16255,Karen Carlisle,Sales,United States,Macon,Georgia,31204.0,South,Special Projects Muesil,Gluten Free,TEC-AC-10004209,32.97,3,0.0,12.8583,2017-09,09.2017,,,,,,,,
1318,CA-2020-157651,2020-12-10,Standard Class,HA-14920,Helen Andreada,Email,United States,Philadelphia,Pennsylvania,19120.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10003116,14.200000000000001,1,0.2,3.372499999999999,2020-12,12.2020,,,1318.0,2020-12-10,2020-12-16,Standard Processing,,
1366,US-2020-155425,2020-11-10,First Class,AB-10600,Ann Blume,Sales,United States,Tucson,Arizona,85705.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001314,239.95200000000003,6,0.2,-35.99280000000004,2020-11,11.2020,,,1364.0,2020-11-10,2020-11-12,Express,2020-11-11,2020-11-12
1372,CA-2020-136672,2020-03-07,Standard Class,MG-17890,Michael Granlund,Facebook,United States,Clinton,Maryland,20735.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10004510,49.08,3,0.0,4.907999999999998,2020-03,03.2020,,,1372.0,2020-03-07,2020-03-11,Standard Processing,,
1399,CA-2019-124485,2019-11-24,First Class,NC-18340,Nat Carroll,Email,United States,New York City,New York,10035.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10002323,88.4,4,0.0,11.492000000000004,2019-11,11.2019,2019-12-02,Nat Carroll,1397.0,2019-11-24,2019-11-27,Express,,
